1,	1,	1,	45,	42,	1,	2,
1,	1,	1,	37,	34,	1,	1,
1,	1,	1,	38,	34,	1,	2,
1,	1,	1,	36,	33,	2,	2,
1,	1,	1,	35,	35,	1,	1,
1,	1,	1,	20,	20,	1,	2,
1,	1,	1,	29,	29,	1,	1,
1,	1,	1,	32,	29,	1,	2,
1,	1,	1,	40,	36,	1,	1,
4,	1,	1,	36,	32,	2,	2,
4,	1,	1,	38,	38,	2,	2,
4,	1,	1,	38,	35,	1,	1,
4,	1,	1,	35,	31,	1,	1,
8,	1,	1,	47,	47,	1,	1,
8,	1,	1,	52,	52,	1,	1,
2,	1,	1,	31,	30,	1,	1,
7,	1,	1,	32,	27,	1,	1,
7,	1,	1,	31,	26,	1,	1,
7,	1,	1,	35,	28,	1,	1,
5,	1,	1,	48,	33,	1,	1,
5,	1,	1,	34,	31,	2,	2,
5,	1,	1,	35,	32,	1,	1,
9,	2,	1,	50,	50,	2,	2,
3,	2,	1,	53,	53,	2,	1,
1,	2,	1,	52,	47,	2,	1,
1,	2,	1,	50,	40,	2,	1,
1,	2,	1,	61,	61,	1,	1,
1,	2,	1,	35,	35,	2,	2,
1,	2,	1,	48,	43,	2,	1,
1,	2,	1,	51,	46,	2,	1,
1,	2,	1,	72,	66,	2,	1,
1,	2,	1,	52,	47,	1,	1,
1,	2,	1,	100,	95,	2,	1,
7,	2,	1,	60,	57,	2,	2,
5,	2,	1,	42,	42,	2,	2,
5,	2,	1,	60,	55,	2,	1,
5,	2,	1,	50,	43,	2,	1,
5,	2,	1,	53,	42,	2,	1,
6,	2,	1,	42,	42,	2,	1,
8,	1,	1,	35,	32,	2,	2,
1,	1,	1,	29,	29,	2,	1,
1,	2,	1,	59,	59,	2,	2,
1,	1,	1,	51,	51,	2,	1,
1,	1,	1,	53,	53,	1,	1,
1,	1,	1,	42,	42,	1,	1,
1,	2,	1,	50,	46,	2,	2,
1,	2,	1,	57,	50,	2,	1,
1,	1,	1,	31,	27,	2,	2,
1,	1,	1,	36,	36,	2,	1,
1,	2,	1,	75,	34,	2,	1,
4,	2,	1,	71,	71,	2,	1,
4,	2,	1,	77,	77,	2,	1,
4,	2,	1,	62,	62,	1,	1,
4,	2,	1,	62,	62,	2,	2,
4,	2,	1,	50,	47,	2,	1,
4,	1,	1,	34,	32,	2,	1,
2,	1,	1,	23,	22,	1,	2,
2,	1,	1,	51,	47,	1,	2,
7,	2,	1,	38,	38,	2,	1,
5,	2,	1,	58,	55,	2,	1,
5,	2,	1,	46,	40,	2,	2,
6,	2,	1,	51,	45,	2,	1,
6,	2,	1,	45,	43,	2,	2,
1,	1,	1,	56,	50,	2,	2,
1,	1,	1,	36,	33,	2,	1,
1,	1,	1,	31,	31,	1,	1,
1,	1,	1,	40,	35,	2,	2,
1,	1,	1,	40,	36,	2,	2,
4,	1,	1,	39,	35,	2,	2,
4,	1,	1,	50,	46,	2,	2,
4,	1,	1,	46,	42,	2,	1,
4,	1,	1,	48,	44,	2,	2,
4,	1,	1,	37,	35,	1,	1,
4,	1,	1,	34,	27,	2,	1,
8,	1,	1,	40,	40,	2,	2,
8,	1,	1,	42,	30,	2,	1,
7,	1,	1,	56,	50,	2,	2,
7,	1,	1,	39,	35,	2,	1,
9,	2,	1,	100,	60,	2,	1,
1,	2,	1,	55,	50,	2,	2,
1,	2,	1,	50,	42,	2,	1,
4,	2,	1,	50,	45,	2,	2,
4,	2,	1,	37,	34,	2,	1,
8,	2,	1,	29,	29,	2,	2,
8,	2,	1,	54,	54,	2,	1,
5,	2,	1,	41,	32,	1,	1,
5,	2,	1,	53,	48,	2,	2,
5,	2,	1,	45,	42,	2,	2,
9,	1,	1,	44,	38,	2,	2,
1,	1,	1,	21,	21,	1,	2,
1,	1,	1,	21,	21,	2,	1,
1,	1,	1,	25,	25,	2,	1,
1,	1,	1,	25,	25,	2,	2,
4,	1,	1,	42,	37,	1,	1,
4,	1,	1,	36,	32,	2,	2,
9,	2,	1,	32,	32,	2,	1,
1,	2,	1,	38,	38,	2,	2,
4,	2,	1,	50,	50,	1,	1,
5,	2,	1,	46,	42,	1,	1,
4,	1,	1,	35,	32,	2,	1,
